Sponsored ,,,,,
,,,,,
,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,
Latest International Weekends,,,,,
International,,,,,
"Data as of Nov 14, 1:34 PST",,,,,
Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
"Weekend Ending November 12, 2023",,,,,
China,Nov 10-12,3,The Marvels,Walt Disney Pictures,"$11,661,657 "
United Kingdom,Nov 10-12,6,The Marvels,Walt Disney Pictures,"$4,237,532 "
Indonesia,Nov 8-12,5,The Marvels,Walt Disney Pictures,"$3,604,214 "
South Korea,Nov 10-12,5,The Marvels,Walt Disney Pictures,"$3,436,184 "
France,Nov 8-12,5,The Marvels,Walt Disney Pictures,"$3,054,754 "
Mexico,Nov 10-12,8,The Marvels,Walt Disney Pictures,"$2,976,478 "
Germany,Nov 9-12,8,The Marvels,Walt Disney Pictures,"$2,402,198 "
Japan,Nov 11-12,5,The Marvels,Walt Disney Pictures,"$2,169,907 "
Australia,Nov 9-12,8,The Marvels,Walt Disney Pictures,"$2,047,054 "
Italy,Nov 9-12,5,The Marvels,Walt Disney Pictures,"$2,006,476 "
Brazil,Nov 9-12,8,The Marvels,Walt Disney Pictures,"$1,856,343 "
Philippines,Nov 8-12,6,The Marvels,Walt Disney Pictures,"$1,776,520 "
Taiwan,Nov 10-12,8,The Marvels,Walt Disney Studios Motion Pictures,"$1,538,022 "
Spain,Nov 10-12,8,The Marvels,Walt Disney Studios Motion Pictures,"$1,499,332 "
Thailand,Nov 9-12,5,The Marvels,Walt Disney Studios Motion Pictures,"$1,420,688 "
Hong Kong,Nov 9-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$1,202,516 "
Malaysia,Nov 9-12,5,The Marvels,Walt Disney Studios Motion Pictures,"$1,148,724 "
Singapore,Nov 9-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$1,001,836 "
India,Nov 10-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$902,441 "
Colombia,Nov 9-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$742,996 "
Netherlands,Nov 9-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$702,694 "
Argentina,Nov 9-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$664,732 "
Poland,Nov 10-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$618,407 "
Switzerland,Nov 8-12,5,The Marvels,Walt Disney Studios Motion Pictures,"$403,453 "
Belgium,Nov 8-12,6,The Marvels,Walt Disney Studios Motion Pictures,"$396,881 "
Chile,Nov 9-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$393,552 "
Austria,Nov 9-12,8,The Marvels,Walt Disney Studios Motion Pictures,"$328,719 "
Sweden,Nov 10-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$306,625 "
New Zealand,Nov 9-12,8,The Marvels,Walt Disney Studios Motion Pictures,"$306,327 "
Denmark,Nov 9-12,7,The Marvels,Walt Disney Studios Motion Pictures,"$219,815 "
