SPONSORED,,,,,
,,,,,
,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,
Latest International Weekends,,,,,
International,,,,,
"Data as of Apr 12, 1:34 PDT",,,,,
Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
"Weekend Ending April 9, 2023",,,,,
Mexico,Apr 7-9,12,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$21,797,271 "
United Kingdom,Apr 7-9,16,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$10,798,744 "
Germany,Apr 6-9,25,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$10,619,712 "
France,Apr 5-9,37,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$9,326,898 "
Australia,Apr 6-9,15,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$7,018,316 "
China,Apr 7-9,7,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$6,314,695 "
Italy,Apr 6-9,9,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$6,264,644 "
Brazil,Apr 6-9,11,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$6,152,113 "
Central America,Apr 6-9,3,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$5,265,791 "
Spain,Apr 7-9,13,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$4,629,442 "
Argentina,Apr 6-9,12,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$3,323,320 "
Netherlands,Apr 6-9,16,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$3,202,463 "
Colombia,Apr 6-9,41,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$3,193,141 "
Chile,Apr 6-9,11,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$3,016,916 "
Peru,Apr 6-9,1,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$2,563,738 "
Switzerland,Apr 5-9,12,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$2,250,626 "
Hong Kong,Apr 6-9,9,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$1,921,470 "
Ecuador,Apr 7-9,2,The Super Mario Bros. Movie,Times Media Films,"$1,871,890 "
Belgium,Apr 5-9,13,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$1,859,114 "
Taiwan,Apr 7-9,10,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$1,828,779 "
Switzerland (German),Apr 6-9,2,The Super Mario Bros. Movie,-,"$1,500,000 "
Austria,Apr 6-9,13,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$1,393,806 "
Israel,Apr 6-9,4,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$1,349,548 "
Singapore,Apr 6-9,11,The Super Mario Bros. Movie,Universal Pictures International (UPI),"$1,297,096 "
